Apple_x,Apple_y,Apple_p,pole_x,pole_y,pole_p,Top_x,Top_y,Top_p,Bottom_x,Bottom_y,Bottom_p
227.3020726,200.6551435,0.999726057,222.5631089,211.4717022,0.960109949,192.1941302,80.95382094,0.999967217,190.2967005,314.7499272,0.999728918
228.2289818,201.7385459,0.99971807,222.0683093,211.9227773,0.937410355,191.7285852,80.75013542,0.999960184,190.2321095,314.4898175,0.999735892
228.3912042,201.8910513,0.999708593,222.1269944,211.9003903,0.943797827,191.7140403,80.76939821,0.999963284,190.2520795,314.4062102,0.999739826
228.5485243,201.4950075,0.999753475,241.0491469,201.0770023,0.854403734,191.8497052,80.49038386,0.999971271,189.9752769,314.1935563,0.999722064
228.6181988,201.757596,0.999750614,241.1628845,201.1045897,0.836797595,191.711236,80.45743728,0.999970555,189.9783173,313.8936155,0.99971211
227.5603636,200.1102676,0.999720871,241.8354092,201.1961932,0.853695869,191.6779356,80.53506565,0.999971747,189.8766413,313.2912853,0.999711156
227.539069,200.0553272,0.999715328,242.0718274,201.2925384,0.848309934,191.8111405,80.52129841,0.999973059,189.8691139,313.2936151,0.999713778
227.4987713,199.9434729,0.999708414,242.409856,201.4401486,0.822489381,192.1016271,80.49424052,0.999974966,189.5703149,313.487133,0.999735832
227.5234253,199.8055792,0.999705017,242.7128114,201.2954409,0.797349095,191.9993229,80.61676431,0.999973476,189.5834026,313.538034,0.999747753
228.7545992,202.2763281,0.999690711,242.5589287,201.4123394,0.717459023,192.3044806,80.62581229,0.999974847,189.4820209,313.4036033,0.999773204
228.7838423,202.2702308,0.999698758,242.6971383,201.4582555,0.722939312,192.3483398,80.65279078,0.999975324,189.4416876,313.3197937,0.99977535
227.4977131,199.9911885,0.99969542,242.7702117,201.4084702,0.713256299,192.3969247,80.60692477,0.999975741,189.3342271,313.1705658,0.999752045
227.476972,199.969388,0.999694586,243.4330033,201.2082701,0.675562859,192.2456799,80.68222904,0.999976039,189.2730408,313.10588,0.999756277
228.6378201,201.9406562,0.999781251,243.6507854,201.7327769,0.762089849,192.24614,80.74950361,0.999978542,189.22682,313.028789,0.99975121
228.5062133,201.793273,0.999721169,243.719258,201.8055563,0.79114604,192.1375391,80.85372829,0.999977469,189.0987182,312.9962518,0.999759138
228.5671967,201.5042524,0.999775887,243.2053111,201.7071514,0.842910409,192.2408903,80.74119687,0.999978065,189.1318345,313.0596581,0.999753356
