scorer,DLC_resnet50_AppleMachineJan6shuffle1_10000,DLC_resnet50_AppleMachineJan6shuffle1_10000,DLC_resnet50_AppleMachineJan6shuffle1_10000,DLC_resnet50_AppleMachineJan6shuffle1_10000,DLC_resnet50_AppleMachineJan6shuffle1_10000,DLC_resnet50_AppleMachineJan6shuffle1_10000,DLC_resnet50_AppleMachineJan6shuffle1_10000,DLC_resnet50_AppleMachineJan6shuffle1_10000,DLC_resnet50_AppleMachineJan6shuffle1_10000,DLC_resnet50_AppleMachineJan6shuffle1_10000,DLC_resnet50_AppleMachineJan6shuffle1_10000,DLC_resnet50_AppleMachineJan6shuffle1_10000
bodyparts,left_top,leftt_top,left_top,leftt_bottom,left_bottom,left_bottom,right_top,right_top,right_top,right_bottom,right_bottom,right_bottom
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
107,330.4784541,155.3864995,0.998827577,331.6440506,408.6385341,0.999672532,515.1562844,151.4062054,0.999854743,511.7479215,405.3767676,0.999691069
108,329.8709092,155.7223592,0.999182165,331.4979998,409.1742783,0.999615788,515.2375643,151.7323387,0.999856353,511.5619788,405.4577988,0.999664366
109,329.2413902,157.4813542,0.999459982,333.7698212,410.7832625,0.999662519,514.8310208,151.773083,0.999854863,510.6217823,405.8310363,0.99964416
110,329.2773943,157.8326486,0.999416828,332.2748275,410.6816065,0.999524355,514.9560041,151.6729524,0.9998523,510.76299,405.9538084,0.999645352
111,329.3527246,157.4649113,0.999340773,332.1413913,410.6431596,0.999567568,515.2091116,151.6222911,0.999862909,510.4833837,405.8523337,0.999643445
112,329.550878,157.0422175,0.999326825,332.0163598,410.4873723,0.999527752,515.6067344,151.4451511,0.999871433,510.5279102,405.6573275,0.999566913
113,329.7599339,155.0755698,0.999097705,331.3393611,408.9829202,0.999660075,515.3806325,151.5825322,0.999865294,510.7415953,405.5147001,0.999659538
114,329.6624696,155.6197438,0.999222875,330.9770523,408.7436414,0.99969101,515.2702737,151.3271306,0.999881864,510.4609022,405.3954175,0.999670625
115,330.211906,155.1936531,0.999404907,330.8967111,407.5840113,0.999758959,515.3590107,151.3702133,0.99987936,510.4003186,405.1793592,0.999648273
116,330.7849272,154.9026093,0.999516726,330.846019,407.4107471,0.999772787,515.2290918,151.7295845,0.999864936,510.427722,404.8165319,0.999570072
117,332.9050997,153.4200473,0.999642491,329.9582973,406.1724226,0.999838114,515.2876144,151.7920401,0.999868631,510.492259,404.6587491,0.999619484
118,332.1518121,153.1394377,0.999661803,329.3507419,405.6420237,0.999825239,515.2496552,151.7971282,0.999869227,510.2875118,404.7459328,0.999599934
119,331.9573018,153.6589899,0.999594629,329.6095595,405.9544933,0.999840021,515.2149419,151.7820442,0.999873042,510.2336545,404.8563345,0.999641597
120,330.7463852,154.8244085,0.99953258,330.1527357,406.2362025,0.999844313,516.0018189,151.9775147,0.999888539,510.3310924,404.8719203,0.999504685
121,328.9347715,157.2539936,0.999491692,331.8679421,409.5163846,0.999571919,516.0154154,151.9347789,0.999882281,510.7542048,404.9502287,0.999562383
122,328.6673579,157.1636063,0.999526143,332.5226798,410.3789471,0.999641538,515.6098461,152.1687598,0.999857306,510.9390202,405.2317024,0.999529719
123,328.5969329,157.2745782,0.99954915,332.3540215,410.2548765,0.999625862,515.9777617,151.8870711,0.99987781,510.8553023,404.9368755,0.999527693
124,329.7885382,155.9355693,0.999115169,331.5411887,408.4130678,0.999758124,515.9801813,151.8588614,0.999887109,510.5354795,404.7772751,0.999503195
125,330.3039358,156.115447,0.998895526,331.5486732,408.3498416,0.999747336,515.8319195,151.8186688,0.999878943,510.5788169,404.9024377,0.999541402
126,330.5950212,155.6382261,0.998084962,331.6867591,408.4473319,0.999738693,515.7625691,151.7556136,0.999882936,510.5805612,404.9002658,0.999541283
127,329.8186922,155.7300933,0.999082088,331.5958604,408.5391603,0.999702156,515.7577938,151.7671716,0.999876022,510.6165791,404.9269577,0.999570847
128,329.4726677,156.0997855,0.999268532,331.7776831,408.6742277,0.999676704,515.53347,151.8831379,0.999862373,510.6236291,404.8695809,0.99957931
129,329.4315314,157.7330694,0.999599099,333.1457548,410.9757079,0.999700069,514.8694512,152.4605064,0.999812186,511.1190205,405.195701,0.999664903
130,329.4523854,157.6024308,0.999573112,333.0064521,411.1709703,0.99968791,514.8945162,152.4062924,0.999822021,511.1662107,405.1870128,0.999698997
131,329.4812613,157.6068044,0.999606669,333.0086665,411.2029031,0.999693036,514.9603643,152.3960705,0.999825358,511.3784165,405.3150227,0.999679089
132,327.8558669,158.3101022,0.999570251,333.2137799,411.1357819,0.999687672,514.7731817,152.8682542,0.999826193,511.6902032,405.7237822,0.999714971
133,329.3496561,157.4818635,0.999618411,333.2223592,411.1217101,0.999691665,514.7343053,152.8753037,0.99981904,511.4544363,405.6093371,0.999683738
134,329.5782366,157.5376821,0.999563575,333.1913886,411.115963,0.999692798,514.7305418,152.8697138,0.999819815,511.4545245,405.6090828,0.999683738
135,328.0464177,158.266221,0.999522865,333.2145581,411.1029009,0.999691784,514.7293429,152.8356075,0.999824762,511.4614587,405.6014965,0.999686062
136,328.2115269,158.4125051,0.999499261,333.3097234,411.0598208,0.999693751,514.683356,152.8954291,0.999826908,511.185967,405.5362769,0.999653101
137,329.8052564,157.8466887,0.999517918,333.2692757,411.0451719,0.999694288,514.8687556,152.853744,0.999837518,511.0233264,405.8220282,0.999692202
138,328.3209658,158.4428959,0.999493539,333.308116,411.0150632,0.999697566,514.8768063,152.8438206,0.999837279,510.8852978,405.9325314,0.999682426
139,330.2669063,157.5980692,0.999527335,333.3010535,411.032527,0.999690771,514.8751713,152.8063745,0.999846816,511.3833752,406.3230093,0.999751687
140,330.2759356,157.6436014,0.999506295,333.2683778,410.9922034,0.999692857,514.7814168,152.809916,0.999835968,511.5963168,406.2280033,0.999759555
141,330.2902088,157.4403706,0.999516129,333.2088447,411.1061031,0.999692321,514.8577981,152.8730412,0.999830842,511.8012619,406.2996809,0.999752223
142,330.2639289,157.3667407,0.999559879,333.2406516,411.1041417,0.999691427,514.8867841,152.8405375,0.999830723,512.0386829,406.014729,0.999739885
143,328.3975458,157.4173036,0.999594331,333.1907101,411.2574378,0.999700308,514.8728073,152.8126502,0.999836087,512.2257583,405.9171382,0.9996894
144,328.2371473,157.4045038,0.999577045,333.2390156,411.2992026,0.999696493,514.8056,152.7650352,0.999839365,512.4385033,405.4528385,0.999695778
145,327.1439114,157.0466738,0.999749303,333.2888288,411.2648533,0.999759436,514.8212115,152.7709041,0.999835014,511.7136202,406.1193812,0.999714136
146,327.8151894,156.2740932,0.99984622,333.3292289,411.3108243,0.9997648,514.789014,152.8109121,0.999832213,511.5834985,406.1119549,0.99966675
147,327.8808079,156.3489866,0.999846339,333.5352345,411.3552502,0.99977684,514.7857878,152.811439,0.999832213,511.6101327,405.9628096,0.999758124
148,327.9923432,155.8841734,0.99978739,333.8060489,411.3178622,0.999794841,515.2460198,152.7574716,0.999844551,511.9599891,406.4059925,0.999789536
149,327.9763656,155.8947039,0.999778509,333.6567707,411.3554646,0.999786735,515.453721,152.532968,0.999848723,512.2093906,406.2285376,0.999765635
150,327.8607204,155.7938604,0.999789476,333.6374283,411.395333,0.999783993,515.0696425,152.2366905,0.999843717,512.5601137,406.1968272,0.999791801
151,327.7195642,155.7347746,0.999787092,333.6278958,411.4138619,0.999783158,515.02851,152.4180059,0.999858916,512.3700848,406.1516237,0.999784052
152,327.7248363,155.7482109,0.999786615,333.6189079,411.466061,0.999781609,515.0483623,152.5197291,0.999853611,512.5405164,406.1713679,0.999786913
153,327.8393769,155.767375,0.999787092,333.5540299,411.5916918,0.99976486,514.7828574,152.3919191,0.99985671,512.2735286,406.0790799,0.999794483
154,327.8341753,155.7270832,0.99977982,333.6304336,411.6374313,0.999771833,515.0422065,152.3296609,0.9998492,512.4107742,406.334506,0.999803364
155,327.9277189,155.7408876,0.999785423,333.7536249,411.6854575,0.999772787,514.9874028,152.3241091,0.999842465,512.1683445,406.5434377,0.999770522
156,327.9315464,155.7925291,0.999786198,333.7604156,411.7449906,0.999770164,515.0766444,152.287271,0.999827087,512.5848069,406.331445,0.99978888
157,327.8864388,155.7930613,0.999789238,333.699574,411.6661967,0.999764919,515.06779,152.2309303,0.999848068,512.5161886,406.4794981,0.999796629
158,327.8808,155.7979212,0.999787748,333.6717734,411.6662622,0.999766231,515.0842433,152.2071605,0.9998492,512.5137966,406.4785104,0.999796629
159,327.9374666,155.8631439,0.999787509,333.6522779,411.5818485,0.999754667,514.9747868,152.4494495,0.999846697,512.4645498,406.3640656,0.999821723
160,328.0254197,155.8093128,0.999781728,333.6039457,411.5092755,0.999727309,514.9377948,152.4446578,0.999846339,512.6406596,406.4071271,0.99984622
161,328.0094132,155.8345919,0.999786496,333.6597562,411.5320118,0.999740481,514.8855895,152.4280977,0.999850214,512.539881,406.3883898,0.999834478
162,328.0128436,155.8448868,0.99978596,333.6696701,411.513413,0.999738455,514.9232973,152.4454932,0.999846518,512.5911973,406.3511028,0.99983263
163,328.052031,155.853858,0.999782562,333.7178173,411.5063575,0.999742746,514.9124665,152.4951992,0.999846101,512.5096207,406.5015748,0.999844491
164,328.0579419,155.8419952,0.999771535,333.7099752,411.4339527,0.99973321,514.9244628,152.4955282,0.999854445,512.4201448,406.3969109,0.999844193
165,328.0013552,155.8707619,0.999783158,333.6823101,411.4794558,0.999730587,514.9831764,152.3929191,0.999862373,512.6103201,406.5229974,0.999838769
166,327.9970326,155.8742504,0.999782681,333.6832604,411.411714,0.999736965,515.0837638,152.4481072,0.999856472,512.6358442,406.4695823,0.999839067
167,327.9564791,155.8768196,0.9997859,333.5880146,411.5061409,0.999729872,515.0690961,152.3758101,0.999860585,512.6197381,406.3914261,0.999841988
