apple_x,apple_y,apple_p
448.1249118,283.0192577,0.999999881
439.4788923,282.7247734,0.999999881
439.2636385,282.7653352,0.999999881
431.1250272,284.4359317,0.999999642
431.1364651,284.453918,0.999999642
431.0644741,284.0452999,0.999999642
420.666032,284.2055649,0.999999642
420.753059,284.0053269,0.999999642
412.2580682,284.9469576,0.999997497
412.2098389,284.9542947,0.999997377
403.2276063,284.5105038,0.999999523
403.207091,284.5160093,0.999999523
397.7845212,284.9515324,0.999997139
397.7194986,285.053349,0.999996901
395.670136,285.576139,0.999997616
395.5633349,285.3487525,0.999997318
393.6873987,285.7809916,0.999997735
392.6635923,284.7231743,0.999997497
389.1399891,284.4514683,0.999999762
389.0146812,284.3768826,0.999999762
386.3020141,284.7862967,0.999999881
386.2600166,284.6835399,0.999999821
382.7442129,285.289947,0.999999523
379.0266187,285.1844697,0.999999881
378.9551586,285.0794768,0.999999762
374.7240448,285.4253252,0.999999881
374.4996431,285.4764919,0.999999821
372.6007683,285.8113581,0.99999994
372.7273763,285.8402714,0.999999881
372.701634,285.9993565,0.999999881
370.7334925,285.9375637,0.999999881
370.7375146,285.9022013,0.999999881
369.9045987,285.9679766,0.99999994
369.5844917,285.8830513,0.99999994
369.1117458,285.5948546,0.99999994
369.2117031,285.6443183,0.999999881
367.9546604,285.5152322,0.999999762
369.1184018,285.8122354,0.999999762
367.1832609,285.9867854,0.999999762
367.0581646,285.9536014,0.999999762
367.4534216,286.5740938,0.999999821
367.5829697,286.7387896,0.999999881
367.3077581,286.567934,0.999999762
367.6771317,286.7111106,0.999999881
367.2217264,286.0448437,0.999999762
366.8284655,286.3163362,0.999999762
367.5234818,287.2644525,0.999999881
367.2506747,287.3646922,0.999999762
367.4337997,287.4245005,0.999999881
367.1294665,287.7024789,0.999999821
367.1063392,287.1434412,0.999999881
366.9416122,287.0828433,0.999999881
366.7701902,287.2364879,0.999999881
366.8540106,286.856617,0.999999881
367.2176054,286.9253416,0.999999821
366.9926112,286.9872613,0.999999881
367.2213917,287.2974725,0.999999881
367.2295761,287.3103714,0.999999821
367.3937173,286.8675833,0.999999821
366.8635449,287.3099723,0.999999881
366.9386759,287.2498689,0.999999821
367.3119457,286.8069086,0.999999881
367.2486129,287.1648822,0.99999994
367.1294432,287.1686921,0.99999994
367.1454058,286.8288913,0.999999881
367.1407919,286.932816,0.999999881
367.0410633,285.9123316,0.999999642
367.0734339,285.9009399,0.999999762
367.0779357,285.9857917,0.999999762
367.0517478,285.7874589,0.999999762
366.0755281,285.6906091,0.999999523
366.3680186,285.2336017,0.999999404
366.5085363,284.9839482,0.999999523
366.4601884,284.5816337,0.999999404
366.8053923,284.5264425,0.999999642
366.8433948,284.4381713,0.999999642
366.5703201,281.9347713,0.999999464
366.5706854,281.7253859,0.999999523
366.2610922,279.4291418,0.999999821
366.3563225,279.1997814,0.999999881
366.9621739,275.9549455,0.999999881
367.0217838,275.9226404,0.99999994
365.3378062,270.9122114,0.999999464
365.3322715,270.9161401,0.999999523
364.6231227,269.4147353,0.999998152
364.1278615,269.3966346,0.999997616
363.9298907,268.6248856,0.99999547
364.0973946,268.6969123,0.999995947
363.0400802,266.7042326,0.999992311
363.0345629,266.6921618,0.999992788
360.4259539,265.9219496,0.999989212
360.3292542,265.7161994,0.999989271
359.9182072,265.1264415,0.999988794
359.5400343,264.9176052,0.99998951
358.3136184,263.3229775,0.999795675
354.9730966,263.7425475,0.999916553
354.9248495,263.7485809,0.99991864
356.3153892,266.5023686,0.364072621
356.3242488,266.5681738,0.325569123
366.9462612,277.7529757,0.804761112
366.952378,277.7378293,0.811516404
366.9352243,277.6787069,0.837542176
367.6566393,277.1921611,0.951976717
367.4403982,276.9371548,0.976160407
368.0391135,277.0516669,0.132383227
368.1015821,277.235463,0.226630449
368.7708464,282.3460842,0.979375362
368.8394692,282.305822,0.976286948
369.6250288,283.2838395,0.99246788
369.3616221,283.2181245,0.995310962
370.0913839,283.0271871,0.989779234
370.158976,283.0812159,0.991556942
372.3254503,284.1675477,0.612101257
372.2591936,284.2352025,0.160087258
372.4206169,284.0462481,0.08303085
372.3445583,284.025048,0.148242563
372.434351,284.0745976,0.31024465
372.5029604,284.0209083,0.323207587
372.5810751,283.9992498,0.430938303
372.3807168,284.1186098,0.439849108
372.3326885,283.9293796,0.499003351
372.310938,284.0952681,0.417621851
372.6048426,283.9543791,0.476529688
372.4613622,284.0533309,0.454495311
372.6066728,284.0513945,0.503810525
368.5515511,280.6417899,1
368.4752715,280.6048241,0.999999881
368.490339,280.6124458,0.999999881
368.5184238,280.6060314,1
368.467994,280.5638371,0.999999881
368.4351292,280.536232,1
368.4425581,280.5686884,1
368.4402218,280.5267253,0.999999881
368.4262545,280.5203753,1
368.4438636,280.507937,1
368.4680924,280.5091839,1
368.4578652,280.4926929,0.999999881
368.4126832,280.3956137,1
368.4423776,280.3761911,1
368.5645785,280.415029,1
368.539294,280.2434893,1
368.5733025,280.1920714,1
368.6447945,280.0290289,1
368.5616672,280.2135482,1
368.7174807,279.945749,0.99999994
368.6890585,280.0868173,1
368.773891,280.0986695,1
368.8179147,280.1572647,1
368.9674573,280.3032312,0.999999881
369.0824971,280.3236318,1
369.176666,280.3234406,1
369.1290727,280.31989,1
369.1748753,280.3743877,1
369.1782758,280.4949489,0.999999881
368.8785331,280.5858665,0.999999881
368.6578426,280.7974873,0.999999881
368.0384648,280.6876302,0.99999994
367.7958713,280.7107472,0.999999881
367.8105712,280.4389215,0.999999881
367.7642646,280.3808665,0.999999881
367.8534369,280.256887,0.99999994
367.8527141,280.2926445,0.99999994
367.7207632,280.0882983,0.999999881
367.6642323,280.0532947,0.999999881
367.4777827,280.0931616,1
367.4212613,280.0552855,0.999999881
367.4365759,280.0483174,0.99999994
367.4036503,280.1233711,0.999999881
367.4667039,280.1287332,0.999999881
367.3806539,280.2037168,0.99999994
367.266252,280.1490173,0.999999881
367.0426474,280.2689214,0.999999881
366.7048497,280.1271391,0.999999881
366.6435571,280.1690016,0.999999881
366.4004416,279.6204996,0.99999994
366.354923,279.2992034,0.99999994
366.6172009,278.8854268,1
366.5718064,278.4805889,1
366.6301389,277.9901791,1
366.6433129,278.0391796,1
367.3300395,277.7797601,1
367.6494818,277.3201828,1
366.971365,275.3770126,0.99999994
364.6263272,272.1370358,0.999999762
364.6675966,272.1691425,0.999999642
364.5579178,272.4049587,0.999999702
360.6360559,270.0116727,0.999999046
360.7781677,270.2385707,0.999999046
