apple_x,apple_y,apple_p
340.8891355,277.2080294,0.000213295
340.8892086,277.2105514,0.000213087
340.8482184,277.2500098,0.000204116
340.844221,277.2262517,0.000194997
-0.240161419,1.08950448,0.000232071
340.8400722,277.2351178,0.00023663
340.8348462,277.2465104,0.000231355
340.8300533,277.3215216,0.000207692
340.8424978,277.3404279,0.000249892
340.8249466,277.2951605,0.000256598
340.8220223,277.3408414,0.000303924
340.7799958,277.1901386,0.000317723
340.8224123,277.2073112,0.00032267
340.8319055,277.2010534,0.000319004
340.7766606,277.1886752,0.000299126
340.7203382,277.1555437,0.000338793
340.6694226,277.0854176,0.000284046
340.6911288,277.0394536,0.000301331
340.6797936,277.0558922,0.000336349
340.6691465,277.2685115,0.000301331
340.683435,277.1983894,0.000339419
340.688382,277.1983014,0.000345081
340.6777484,277.2070463,0.000348985
340.5846934,277.3028413,0.00031662
340.5923773,277.3236399,0.000333309
340.5942363,277.3252447,0.00033322
340.5884039,277.3460056,0.000326514
340.5945545,277.4164586,0.000311524
340.7384242,277.394514,0.000315517
340.6384575,277.3346943,0.000290334
342.4579329,278.191854,0.999999702
342.3754559,278.1003768,0.999999762
342.4310601,278.1322753,0.999999762
342.4623501,278.207458,0.999999762
342.5127008,278.2717488,0.999999642
342.4345236,278.146013,0.999999702
342.4226723,278.2419059,0.999999702
342.4037814,278.2099831,0.999999762
342.5246532,278.3350365,0.999999762
342.4435954,278.2143028,0.999999702
342.4888284,278.3648596,0.999999762
342.5048277,278.3456585,0.999999702
342.5120919,278.3510695,0.999999702
342.4210639,278.1499076,0.999999762
342.4582665,278.1709218,0.999999702
342.4896135,278.1765096,0.999999702
342.4941044,278.1784384,0.999999642
342.6010401,278.2624102,0.999999702
342.7880111,278.6074009,0.999999642
342.7875109,278.6278546,0.999999642
342.846329,278.6721592,0.999999642
343.3435237,279.2563143,0.999999583
343.3255873,279.280479,0.999999642
343.625989,279.5083141,0.999999046
343.6834531,279.4972811,0.999998927
344.3243389,279.6690454,0.999996245
344.4203563,279.9520028,0.999995232
344.5949006,279.8956993,0.999993801
344.7559514,279.85145,0.999993324
344.9723074,279.9055552,0.999994636
344.8841743,279.774328,0.999994636
345.1214747,280.6401453,0.999985218
344.7786734,280.3450532,0.999986529
344.3422894,279.7373848,0.999994397
344.3519387,279.6844907,0.999994695
344.400882,278.7181091,0.999989986
344.3967683,278.7258005,0.99998939
345.5932369,279.6028771,0.999975979
345.5871668,279.5652611,0.999976277
345.1329255,280.0589104,0.999960184
